  win   (r, c)   taps 0-2   | taps 3-5   | taps 6-8    position
  73 ( 2, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
  74 ( 2,10)  48 50 58 | 48 50 58 | 48 50 58  interior
  75 ( 2,11)  50 58 60 | 50 58 60 | 50 58 60  interior
  76 ( 2,12)  58 60 68 | 58 60 68 | 58 60 68  interior
  77 ( 2,13)  60 68 70 | 60 68 70 | 60 68 70  interior
  78 ( 2,14)  68 70 78 | 68 70 78 | 68 70 78  interior
  79 ( 2,15)  70 78 80 | 70 78 80 | 70 78 80  interior
  80 ( 2,16)  78 80 88 | 78 80 88 | 78 80 88  interior
  81 ( 2,17)  80 88 90 | 80 88 90 | 80 88 90  interior
  82 ( 2,18)  88 90 98 | 88 90 98 | 88 90 98  interior
  83 ( 2,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
  84 ( 2,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
  85 ( 2,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
  86 ( 2,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
  87 ( 2,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
  88 ( 2,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
  89 ( 2,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
  90 ( 2,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
  91 ( 2,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
  92 ( 2,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
  93 ( 2,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
  94 ( 2,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
  95 ( 2,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
  96 ( 3, 0)  00 00 08 | 00 00 08 | 00 00 08  left
  97 ( 3, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
  98 ( 3, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
  99 ( 3, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 100 ( 3, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 101 ( 3, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 102 ( 3, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 103 ( 3, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 104 ( 3, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 105 ( 3, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 106 ( 3,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 107 ( 3,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 108 ( 3,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 109 ( 3,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 110 ( 3,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 111 ( 3,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 112 ( 3,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 113 ( 3,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 114 ( 3,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 115 ( 3,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 116 ( 3,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 117 ( 3,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 118 ( 3,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 119 ( 3,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 120 ( 3,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 121 ( 3,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 122 ( 3,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 123 ( 3,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 124 ( 3,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 125 ( 3,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 126 ( 3,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 127 ( 3,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 128 ( 4, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 129 ( 4, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 130 ( 4, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 131 ( 4, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 132 ( 4, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 133 ( 4, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 134 ( 4, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 135 ( 4, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 136 ( 4, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 137 ( 4, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 138 ( 4,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 139 ( 4,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 140 ( 4,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 141 ( 4,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 142 ( 4,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 143 ( 4,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 144 ( 4,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 145 ( 4,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 146 ( 4,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 147 ( 4,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 148 ( 4,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 149 ( 4,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 150 ( 4,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 151 ( 4,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 152 ( 4,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 153 ( 4,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 154 ( 4,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 155 ( 4,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 156 ( 4,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 157 ( 4,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 158 ( 4,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 159 ( 4,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 160 ( 5, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 161 ( 5, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 162 ( 5, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 163 ( 5, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 164 ( 5, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 165 ( 5, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 166 ( 5, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 167 ( 5, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 168 ( 5, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 169 ( 5, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 170 ( 5,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 171 ( 5,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 172 ( 5,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 173 ( 5,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 174 ( 5,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 175 ( 5,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 176 ( 5,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 177 ( 5,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 178 ( 5,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 179 ( 5,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 180 ( 5,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 181 ( 5,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 182 ( 5,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 183 ( 5,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 184 ( 5,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 185 ( 5,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 186 ( 5,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 187 ( 5,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 188 ( 5,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 189 ( 5,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 190 ( 5,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 191 ( 5,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 192 ( 6, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 193 ( 6, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 194 ( 6, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 195 ( 6, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 196 ( 6, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 197 ( 6, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 198 ( 6, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 199 ( 6, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 200 ( 6, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 201 ( 6, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 202 ( 6,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 203 ( 6,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 204 ( 6,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 205 ( 6,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 206 ( 6,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 207 ( 6,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 208 ( 6,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 209 ( 6,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 210 ( 6,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 211 ( 6,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 212 ( 6,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 213 ( 6,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 214 ( 6,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 215 ( 6,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 216 ( 6,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 217 ( 6,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 218 ( 6,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 219 ( 6,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 220 ( 6,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 221 ( 6,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 222 ( 6,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 223 ( 6,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 224 ( 7, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 225 ( 7, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 226 ( 7, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 227 ( 7, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 228 ( 7, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 229 ( 7, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 230 ( 7, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 231 ( 7, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 232 ( 7, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 233 ( 7, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 234 ( 7,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 235 ( 7,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 236 ( 7,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 237 ( 7,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 238 ( 7,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 239 ( 7,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 240 ( 7,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 241 ( 7,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 242 ( 7,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 243 ( 7,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 244 ( 7,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 245 ( 7,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 246 ( 7,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 247 ( 7,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 248 ( 7,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 249 ( 7,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 250 ( 7,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 251 ( 7,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 252 ( 7,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 253 ( 7,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 254 ( 7,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 255 ( 7,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 256 ( 8, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 257 ( 8, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 258 ( 8, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 259 ( 8, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 260 ( 8, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 261 ( 8, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 262 ( 8, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 263 ( 8, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 264 ( 8, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 265 ( 8, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 266 ( 8,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 267 ( 8,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 268 ( 8,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 269 ( 8,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 270 ( 8,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 271 ( 8,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 272 ( 8,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 273 ( 8,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 274 ( 8,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 275 ( 8,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 276 ( 8,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 277 ( 8,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 278 ( 8,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 279 ( 8,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 280 ( 8,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 281 ( 8,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 282 ( 8,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 283 ( 8,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 284 ( 8,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 285 ( 8,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 286 ( 8,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 287 ( 8,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 288 ( 9, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 289 ( 9, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 290 ( 9, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 291 ( 9, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 292 ( 9, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 293 ( 9, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 294 ( 9, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 295 ( 9, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 296 ( 9, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 297 ( 9, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 298 ( 9,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 299 ( 9,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 300 ( 9,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 301 ( 9,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 302 ( 9,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 303 ( 9,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 304 ( 9,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 305 ( 9,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 306 ( 9,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 307 ( 9,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 308 ( 9,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 309 ( 9,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 310 ( 9,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 311 ( 9,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 312 ( 9,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 313 ( 9,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 314 ( 9,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 315 ( 9,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 316 ( 9,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 317 ( 9,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 318 ( 9,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 319 ( 9,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 320 (10, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 321 (10, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 322 (10, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 323 (10, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 324 (10, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 325 (10, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 326 (10, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 327 (10, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 328 (10, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 329 (10, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 330 (10,10)  48 50 58 | 48 50 58 | 48 50 58  interior
 331 (10,11)  50 58 60 | 50 58 60 | 50 58 60  interior
 332 (10,12)  58 60 68 | 58 60 68 | 58 60 68  interior
 333 (10,13)  60 68 70 | 60 68 70 | 60 68 70  interior
 334 (10,14)  68 70 78 | 68 70 78 | 68 70 78  interior
 335 (10,15)  70 78 80 | 70 78 80 | 70 78 80  interior
 336 (10,16)  78 80 88 | 78 80 88 | 78 80 88  interior
 337 (10,17)  80 88 90 | 80 88 90 | 80 88 90  interior
 338 (10,18)  88 90 98 | 88 90 98 | 88 90 98  interior
 339 (10,19)  90 98 a0 | 90 98 a0 | 90 98 a0  interior
 340 (10,20)  98 a0 a8 | 98 a0 a8 | 98 a0 a8  interior
 341 (10,21)  a0 a8 b0 | a0 a8 b0 | a0 a8 b0  interior
 342 (10,22)  a8 b0 b8 | a8 b0 b8 | a8 b0 b8  interior
 343 (10,23)  b0 b8 c0 | b0 b8 c0 | b0 b8 c0  interior
 344 (10,24)  b8 c0 c8 | b8 c0 c8 | b8 c0 c8  interior
 345 (10,25)  c0 c8 d0 | c0 c8 d0 | c0 c8 d0  interior
 346 (10,26)  c8 d0 d8 | c8 d0 d8 | c8 d0 d8  interior
 347 (10,27)  d0 d8 e0 | d0 d8 e0 | d0 d8 e0  interior
 348 (10,28)  d8 e0 e8 | d8 e0 e8 | d8 e0 e8  interior
 349 (10,29)  e0 e8 f0 | e0 e8 f0 | e0 e8 f0  interior
 350 (10,30)  e8 f0 f8 | e8 f0 f8 | e8 f0 f8  interior
 351 (10,31)  f0 f8 00 | f0 f8 00 | f0 f8 00  right
 352 (11, 0)  00 00 08 | 00 00 08 | 00 00 08  left
 353 (11, 1)  00 08 10 | 00 08 10 | 00 08 10  interior
 354 (11, 2)  08 10 18 | 08 10 18 | 08 10 18  interior
 355 (11, 3)  10 18 20 | 10 18 20 | 10 18 20  interior
 356 (11, 4)  18 20 28 | 18 20 28 | 18 20 28  interior
 357 (11, 5)  20 28 30 | 20 28 30 | 20 28 30  interior
 358 (11, 6)  28 30 38 | 28 30 38 | 28 30 38  interior
 359 (11, 7)  30 38 40 | 30 38 40 | 30 38 40  interior
 360 (11, 8)  38 40 48 | 38 40 48 | 38 40 48  interior
 361 (11, 9)  40 48 50 | 40 48 50 | 40 48 50  interior
 362 (11,10)  48 50 58 | 48 50 58 | 48 50 58  interior
